operation_name,operation_type,city,electricity_quantity,ghg_emissions_kg,year
9 Emerson Ave,Parking garages,Toronto,4816.560173,211.928647612,2015
9 Salem Ave,Parking garages,Toronto,2742.7001309999996,120.67880576399997,2015
Atlantic Ave Storage Bldg,Administrative Offices,Toronto,117030.333383,64732.305569661985,2015
Albion,Public libraries,Toronto,356603.725829,108565.768738366,2015
Abbotsford Park,Other,Toronto,2646.5620089999998,116.44872839599998,2015
Ashbridges Bay Park,Other,Toronto,57096.283224,2512.236461856,2015
Ancaster Childcare Centre,Other,Toronto,147121.595635,33923.375010769996,2015
Albert Campbell District,Public libraries,Toronto,496578.72451399994,43310.430858376,2015
Adams Park,Other,Toronto,134067.080243,5898.951530692,2015
Agincourt District,Public libraries,Toronto,738589.8408059999,42612.883583603994,2015
Alex Duff Pool,Other,Toronto,479312.279882,111007.95149270797,2015
Allan Gardens,Other,Toronto,236979.24317600002,273239.10376083397,2015
Algonguin Island Sewage Pumping Station,Sewage Pumping,Toronto,13616.024257000001,599.105067308,2015
Agincourt Arena and R.C,Indoor recreational facilities,Toronto,2179062.542762,637955.321881528,2015
Armour Heights Pumping Station,Water Pumping,Toronto,1931840.71,85000.99123999999,2015
Ambulance Headquarters,Ambulance Station,Toronto,3732455.28,627273.33280476,2015
Albion Arena,Indoor sports arenas,Toronto,434618.457143,84180.14705351199,2015
Albion Comm Ctr & Pool,Indoor swimming pools,Toronto,487528.55600000004,289324.63418287,2015
Aldwych Park,Other,Toronto,35660.575276,1569.065312144,2015
Allen Road,Street lighting,Toronto,635721.907246,27971.763918824,2015
Allan A Lamport Stadium,Other,Toronto,676858.69,555035.4623599999,2015
Albert Standing Park,Other,Toronto,12932.024839000002,569.009092916,2015
Amesbury Park,Other,Toronto,25612.912118,1126.9681331919999,2015
Amesbury Arena,Indoor sports arenas,Toronto,783540.937643,248743.532722612,2015
Amesbury Community Center,Community centres,Toronto,317964.36577599996,115517.006520974,2015
Annette Street,Public libraries,Toronto,175252.83316500002,25757.53562625,2015
Antibes Park,Indoor recreational facilities,Toronto,437225.3076,128938.73327025,2015
Ancaster C.C.,Community centres,Toronto,90772.363475,40345.16019886,2015
Annette R.C,Community centres,Toronto,477180.41756800003,20995.938372992,2015
Anniversary Park,Other,Toronto,4285.096094,188.54422813600002,2015
Anthony Road School Park,Other,Toronto,77.82,3.4240799999999996,2015
Amesbury Park Library,Public libraries,Toronto,111904.94553,24441.84474186,2015
Archives and Records Centre,Administrative Offices,Toronto,466975.29,115285.08237063,2015
Albion Road Childcare Centre,Other,Toronto,70080.841647,36119.833028477995,2015
